name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,phone_number,secondary_filters_name,longitude,latitude,tipo_centro
Escola per a Infants i Adolescents de l'Hospital de Dia Clínic,C Villarroel,170.0,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,8036.0,932279971,Ensenyament infantil (3-6 anys),41.38914826078086,2.151784715500113,reglat
Escola per a Infants i Adolescents de l'Hospital de Dia Clínic,C Villarroel,170.0,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,8036.0,932279971,Educació primària,41.38914826078086,2.151784715500113,reglat
Escola per a Infants i Adolescents de l'Hospital de Dia Clínic,C Villarroel,170.0,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,8036.0,932279971,Educació secundària,41.38914826078086,2.151784715500113,reglat
Escola de Música La Salle Bonanova,Pg Bonanova,8.0,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,8022.0,932540950,Música,41.4062399904267,2.132487351954574,reglat
Escola Superior d'Estudis Musicals Taller de Músics,C Segre,24.0,60.0,Sant Andreu,9.0,Sant Andreu,8030.0,931763063,Música,41.43492914455279,2.1917282568652707,reglat
Centre Superior de Música Liceu,Carrer Nou de la Rambla,82.0,1.0,el Raval,1.0,Ciutat Vella,8001.0,933271200,Música,41.376083367668606,2.1710306460576123,reglat
Institut Maria Espinalt,Camí Antic de València,82.0,68.0,el Poblenou,10.0,Sant Martí,8005.0,936344010,Educació secundària,41.40616928378711,2.202749541771861,reglat
Escola  Els 30 Passos,C Berenguer de Palou,64.0,61.0,la Sagrera,9.0,Sant Andreu,8030.0,937826644,Ensenyament infantil (3-6 anys),41.4237364088405,2.1919519735502955,reglat
Escola  Els 30 Passos,C Berenguer de Palou,64.0,61.0,la Sagrera,9.0,Sant Andreu,8030.0,937826644,Educació primària,41.4237364088405,2.1919519735502955,reglat
Escola de Música Liceu,Pl Urquinaona,11.0,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,8010.0,933184536,Música,41.38861871795946,2.173147140744683,reglat
Centre Educatiu Cintra,C Riereta,21.0,1.0,el Raval,1.0,Ciutat Vella,8001.0,934426654,Educació secundària,41.37812640198185,2.168539245437845,reglat
Escola de Perruqueria Miguel Griñó,C Tamarit,151.0,10.0,Sant Antoni,2.0,Eixample,8015.0,93 426 66 09,Formació professional,41.37820559348554,2.1601608104554217,reglat
Escola Fluvià,C Fluvià,60.0,69.0,Diagonal Mar i el Front Marítim del Poblenou,10.0,Sant Martí,8019.0,933031016,Ensenyament infantil (3-6 anys),41.40706157632974,2.207122795296649,reglat
Escola Fluvià,C Fluvià,60.0,69.0,Diagonal Mar i el Front Marítim del Poblenou,10.0,Sant Martí,8019.0,933031016,Educació primària,41.40706157632974,2.207122795296649,reglat
Centro de Estudios de Nuevas Técnicas Estéticas,Pl Sant Miquel,2.0,2.0,el Barri Gòtic,1.0,Ciutat Vella,8002.0,933 041 966,Formació professional,41.3820927603217,2.1768499537814496,reglat
Observatori de Globalització,C Adolf Florensa,8.0,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,93 403 44 79,Universitats,41.38207153937563,2.11571920980788,reglat
Observatori del Tíbet i Àsia Central,C Baldiri Reixac,4.0,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,934037821,Universitats,41.38181496935082,2.1167473290451104,reglat
Fundació Barcelona Media - Centre d'Innovació,Av Diagonal,177.0,66.0,el Parc i la Llacuna del Poblenou,10.0,Sant Martí,8018.0,932381400,Universitats,41.404425080209855,2.1936694239353693,reglat
Parc d'Innovació Tecnològica i Empresarial La Salle,C Quatre Camins,30.0,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,8022.0,932902434,Universitats,41.40944167227188,2.1300561885083784,reglat
