district_code,district_name,income,genre,age,occupation,house_members,has_connection,has_connection_bcn,level_of_education,house_devices,longitude,latitude,educational_ocupational_index,educational_ocupational_index_district
8,Nou Barris,1,2,34,1,1,1,0,5,2.0,2.1688865,41.4430877,1.0,0.5367971980868633
4,Les Corts,5,2,74,3,2,1,0,3,4.0,2.104255,41.389023,0.8000027024595725,0.9253424656411553
6,Gràcia,3,2,44,1,2,1,0,5,5.0,2.1593641,41.4130264,1.0,0.8773520558287237
4,Les Corts,4,2,80,3,1,1,0,4,3.0,2.1272385,41.3840837,1.0,0.9253424656411553
10,Sant Martí,2,2,38,1,4,1,0,4,5.0,2.1842879,41.4072323,1.0,0.7909123076143924
6,Gràcia,4,1,23,5,1,1,0,2,3.0,2.1748013,41.381602,1.0,0.8773520558287237
10,Sant Martí,2,1,47,1,2,1,6,5,3.0,2.2112037,41.4179353,1.0,0.7909123076143924
6,Gràcia,4,2,17,5,4,1,0,2,10.0,2.1593124,41.4092524,1.0,0.8773520558287237
6,Gràcia,4,1,18,5,3,1,0,3,7.0,2.1534423,41.4016907,1.0,0.8773520558287237
4,Les Corts,4,2,86,3,1,1,0,5,2.0,2.1401328,41.3892824,1.0,0.9253424656411553
2,Eixample,3,2,40,1,5,1,6,5,7.0,2.1761,41.3987587,1.0,0.8878823968558166
6,Gràcia,4,2,22,1,3,1,0,4,6.0,2.151792,41.4012222,1.0,0.8773520558287237
5,Sarrià - Sant Gervasi,5,1,60,1,4,1,6,5,7.0,2.1421472,41.4024913,1.0,0.9710576839202464
7,Horta - Guinardó,2,2,44,1,4,1,0,5,7.0,2.1681701,41.4284317,1.0,0.7287387223780619
8,Nou Barris,1,2,50,1,3,1,0,2,5.0,2.1640671,41.4433816,0.0010942087337722877,0.5367971980868633
8,Nou Barris,1,2,78,3,2,1,0,4,1.0,2.170162,41.4302345,1.0,0.5367971980868633
2,Eixample,3,1,83,3,2,1,0,4,4.0,2.1561904,41.3762535,1.0,0.8878823968558166
7,Horta - Guinardó,2,1,42,1,3,1,0,4,5.0,2.1582927,41.4296446,1.0,0.7287387223780619
3,Sants - Montjuïc,2,1,40,1,3,1,0,2,6.0,2.1424958,41.3591731,0.21333075676475088,0.7650847388191471
2,Eixample,5,2,42,1,3,1,0,2,4.0,2.1567902,41.3765121,0.8080855268647352,0.8878823968558166
10,Sant Martí,4,2,80,3,2,1,0,3,3.0,2.2047571,41.3982249,0.6000005853455233,0.7909123076143924
2,Eixample,3,2,53,1,2,1,0,5,3.0,2.1548281,41.3771202,1.0,0.8878823968558166
8,Nou Barris,1,2,45,1,2,1,0,4,3.0,2.1760477,41.43521,1.0,0.5367971980868633
1,Ciutat Vella,3,2,30,1,3,1,6,4,3.0,2.1797402,41.38685,1.0,0.8158578144146168
8,Nou Barris,1,2,77,3,1,2,0,1,1.0,2.1739803,41.4315324,1.2315656206906897e-06,0.5367971980868633
5,Sarrià - Sant Gervasi,5,2,54,1,4,1,6,5,9.0,2.1376624,41.401298,1.0,0.9710576839202464
8,Nou Barris,1,1,62,3,2,1,6,4,4.0,2.1682091,41.4357384,1.0,0.5367971980868633
9,Sant Andreu,2,1,33,1,1,1,0,2,5.0,2.1945687,41.4329133,0.2767133975157114,0.6710875151380777
9,Sant Andreu,2,1,24,5,3,1,0,3,6.0,2.1900312,41.4237844,0.9278367880701457,0.6710875151380777
2,Eixample,4,1,26,1,3,1,0,5,7.0,2.1618537,41.3751966,1.0,0.8878823968558166
5,Sarrià - Sant Gervasi,5,2,55,1,5,1,0,5,13.0,2.104843,41.4131391,1.0,0.9710576839202464
4,Les Corts,4,1,17,5,3,1,0,3,8.0,2.1294591,41.3849326,1.0,0.9253424656411553
4,Les Corts,4,2,75,3,1,1,0,5,2.0,2.1360435,41.3826634,1.0,0.9253424656411553
2,Eixample,3,2,58,1,3,1,0,5,6.0,2.1436625,41.3810452,1.0,0.8878823968558166
2,Eixample,3,1,23,2,3,1,0,2,5.0,2.1729828,41.4009959,1.0,0.8878823968558166
7,Horta - Guinardó,2,2,38,2,3,1,0,3,8.0,2.159615,41.4304683,0.22197872801496596,0.7287387223780619
1,Ciutat Vella,3,2,38,1,4,1,0,5,4.0,2.18002,41.38693,1.0,0.8158578144146168
8,Nou Barris,1,2,46,2,3,1,4,3,5.0,2.1710581,41.4272606,0.0029744530805157323,0.5367971980868633
4,Les Corts,4,2,79,3,2,1,0,2,1.0,2.1250303,41.3768728,0.6000007572425979,0.9253424656411553
8,Nou Barris,1,2,49,1,4,1,0,4,5.0,2.181713,41.4401635,1.0,0.5367971980868633
5,Sarrià - Sant Gervasi,5,2,50,1,3,1,0,5,6.0,2.1212445,41.3964291,1.0,0.9710576839202464
8,Nou Barris,1,2,82,3,2,1,0,1,1.0,2.18275,41.44241,3.1740354791907725e-07,0.5367971980868633
5,Sarrià - Sant Gervasi,5,2,54,1,2,1,0,5,8.0,2.1451396,41.3950822,1.0,0.9710576839202464
5,Sarrià - Sant Gervasi,5,1,31,1,2,1,0,5,5.0,2.1407711,41.4079535,1.0,0.9710576839202464
3,Sants - Montjuïc,2,2,27,2,3,1,0,3,7.0,2.1689535,41.3742516,0.5438057335688381,0.7650847388191471
6,Gràcia,4,1,54,1,2,1,0,3,4.0,2.153792,41.3860995,0.6004025353017798,0.8773520558287237
6,Gràcia,4,2,79,3,1,1,0,2,1.0,2.156307,41.4057881,0.6000007572425979,0.8773520558287237
5,Sarrià - Sant Gervasi,5,1,45,1,6,1,6,5,15.0,2.1453036,41.4040236,1.0,0.9710576839202464
5,Sarrià - Sant Gervasi,5,2,41,1,5,1,0,5,9.0,2.1300594,41.3988481,1.0,0.9710576839202464
8,Nou Barris,1,2,76,3,2,2,0,2,0.0,2.1642851,41.4284329,1.5954717303764644e-06,0.5367971980868633
10,Sant Martí,4,2,23,1,3,1,0,5,9.0,2.1965296,41.3959519,1.0,0.7909123076143924
8,Nou Barris,1,2,36,1,3,1,0,3,6.0,2.1732213,41.437888,0.036236812227747446,0.5367971980868633
