name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_zip_code,phone_number,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,longitude,latitude,estimated_dates,tipo_centro
Escola d'Idiomes Mac Daid,C Almeria,15,18,Sants,8014,933311299,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.37359844085278,2.138228957303234,,no_reglat
Escola Accent Idiomes *Puigcerdà,C Puigcerdà,265,73,la Verneda i la Pau,8020,933052306,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.420804161838646,2.2017715839885703,,no_reglat
Escola anglès,Aragó,204,8,l'Antiga Esquerra de l'Eixample,8011,934520844,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38748105033396,2.1588951162894885,,no_reglat
Escola d'Idiomes,Av Drassanes,3,1,el Raval,8001,934817373,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.37614855013357,2.1748924637104308,,no_reglat
Escola Internacional Idiomes *Via Laietana,Via Laietana,45,2,el Barri Gòtic,8003,933184770,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38672608276763,2.174943397790952,,no_reglat
Centre Educatiu Monlau,C Monlau,2,61,la Sagrera,8027,933408204,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.42299752907012,2.1906007422317457,,no_reglat
Centre Educatiu Monlau,C Monlau,2,61,la Sagrera,8027,933408204,Educació secundària,Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària,651,41.42299752907012,2.1906007422317457,,no_reglat
Centre Educatiu Monlau,C Monlau,2,61,la Sagrera,8027,933408204,Formació professional,Planol BCN >> Educació >> Ensenyament reglat >> Formació professional,651,41.42299752907012,2.1906007422317457,,no_reglat
Centre Educatiu Stucom Pelai,C Pelai,8,1,el Raval,8001,933015696,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.38579903052059,2.165298464715733,,no_reglat
Centre Educatiu Stucom Pelai,C Pelai,8,1,el Raval,8001,933015696,Formació professional,Planol BCN >> Educació >> Ensenyament reglat >> Formació professional,651,41.38579903052059,2.165298464715733,,no_reglat
Cisi Institut,Gran de Sant Andreu,61,60,Sant Andreu,8030,933453191,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.42937235266256,2.1899714608369134,,no_reglat
Escola d'Informàtica i Oficis SL,C Aragó,383,7,la Dreta de l'Eixample,8013,933171626,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.39889893713934,2.173536331880213,,no_reglat
Bcn Languages Eixample *Rbla Catalunya,Rbla Catalunya,22,7,la Dreta de l'Eixample,8007,933177119,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38912399959915,2.1664498075695624,,no_reglat
Centre d'Autoformació Freire,C Antoni Gilabert i Bonet,55,51,Verdun,8042,933534419,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.44459674193996,2.1759581720892,,no_reglat
Escola Today School *València,C València,610,64,el Camp de l'Arpa del Clot,8026,932444014,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.40959847927924,2.1859932829940654,,no_reglat
Centre d'Estudis Language,Enric Granados,149,8,l'Antiga Esquerra de l'Eixample,8008,932008741,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39443523748366,2.153470764865681,,no_reglat
Centre de disseny artístic i industrial de Catalunya,Badal,98,16,la Bordeta,8014,933323262,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.37054716667234,2.1328006089685294,,no_reglat
Acadèmia d'Anglès Play and Learn *Gran Via,Gran Via de les Corts Catalanes,1040,71,Provençals del Poblenou,8020,934638194,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.40431420737963,2.131123622322749,,no_reglat
Centre d'Estudis Politècnics,Pl Urquinaona,10,4,"Sant Pere, Santa Caterina i la Ribera",8010,933020224,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.38872684298498,2.173287528479757,,no_reglat
Centre d'Estudis Politècnics,Pl Urquinaona,10,4,"Sant Pere, Santa Caterina i la Ribera",8010,933020224,Educació secundària,Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària,651,41.38872684298498,2.173287528479757,,no_reglat
Centre d'Estudis Politècnics,Pl Urquinaona,10,4,"Sant Pere, Santa Caterina i la Ribera",8010,933020224,Formació professional,Planol BCN >> Educació >> Ensenyament reglat >> Formació professional,651,41.38872684298498,2.173287528479757,,no_reglat
